"","from","Augur","Digix","Golem"
"439",9.38662967318782e+46,0,0,1
"440",9.41224158528496e+46,1,0,0
"441",9.45144324129775e+46,0,1,0
"442",9.47895380536496e+46,0,0,2
"443",9.57106872617776e+46,0,10,0
"444",9.57670753349349e+46,0,1,0
"445",9.597161037077e+46,0,1,0
"446",9.64685199577808e+46,0,0,4
"447",9.65746522215716e+46,3,0,0
"448",9.65861131764979e+46,1,1,0
"449",9.6621438526167e+46,0,0,2
"450",9.69589914331521e+46,0,0,1
"451",9.74163380619209e+46,0,1,0
"452",9.7451979332519e+46,0,5,0
"453",9.76810009893849e+46,0,1,0
"454",9.77986149655671e+46,0,0,4
"455",9.78056998891061e+46,0,1,0
"456",9.80541399654816e+46,0,0,1
"457",9.82912589789813e+46,0,5,4
"458",9.88180948479183e+46,1,0,0
"459",9.906238495535e+46,0,5,0
"460",9.92213212671619e+46,2,0,0
"461",9.9304700512737e+46,3,0,0
"462",9.93565601599198e+46,0,2,0
"463",9.94378704604849e+46,1,0,0
"464",9.94854455321668e+46,1,0,0
"465",9.96351624312375e+46,0,0,2
"466",9.9787796560412e+46,0,0,1
"467",1.00382754136634e+47,5,4,0
"468",1.00432346245622e+47,0,1,0
"469",1.00499266803734e+47,0,0,4
"470",1.0074004317535e+47,0,1,0
"471",1.02208154632122e+47,0,0,2
"472",1.0242550085569e+47,0,1,0
"473",1.02527828804487e+47,0,4,0
"474",1.0303381341866e+47,1,0,0
"475",1.03096487453034e+47,0,2,0
"476",1.03185008702536e+47,0,1,0
"477",1.03337739470854e+47,0,2,0
"478",1.03478855648159e+47,0,0,1
"479",1.03877505703041e+47,3,0,0
"480",1.0401654084004e+47,1,0,0
"481",1.04048074978255e+47,0,2,0
"482",1.04095893370491e+47,0,1,0
"483",1.04129315013081e+47,1,0,0
"484",1.04357617946571e+47,2,0,0
"485",1.04511405165874e+47,1,0,0
"486",1.04623272821104e+47,0,0,2
"487",1.04787607117213e+47,1,0,0
"488",1.04900842524928e+47,0,31,0
"489",1.05136916125748e+47,0,0,2
"490",1.05255992396336e+47,1,0,0
"491",1.0538183926539e+47,1,0,0
"492",1.05491112963503e+47,0,3,0
"493",1.0613054806206e+47,1,0,0
"494",1.0620719644716e+47,2,0,0
"495",1.06411501804222e+47,0,1,0
"496",1.0670136958683e+47,1,0,0
"497",1.07315479758826e+47,1,0,0
"498",1.07558144290683e+47,0,1,0
"499",1.08378054468024e+47,0,0,2
"500",1.09079461412478e+47,2,0,0
"501",1.09082352441971e+47,0,3,0
"502",1.0973566486153e+47,0,2,0
"503",1.0994257352654e+47,0,1,0
"504",1.10048972043713e+47,0,0,18
"505",1.10056332105761e+47,0,3,6
"506",1.10159442063203e+47,0,0,3
"507",1.1068755462548e+47,0,1,0
"508",1.10941662654433e+47,1,0,0
"509",1.11362027239168e+47,2,0,0
"510",1.11515849056247e+47,2,0,0
"511",1.11708622080715e+47,1,2,5
"512",1.11733774490324e+47,1,0,0
"513",1.12526399931893e+47,1,0,0
"514",1.12820512601274e+47,0,1,0
"515",1.13137503437903e+47,1,0,0
"516",1.14482998846771e+47,0,0,2
"517",1.14760242935912e+47,1,0,0
"518",1.1515057465989e+47,1,0,0
"519",1.15312051578227e+47,0,1,0
"520",1.15523700378245e+47,1,0,0
"521",1.15963684296135e+47,1,0,0
"522",1.159683624969e+47,2,0,0
"523",1.16028880662176e+47,0,2,0
"524",1.16711379867e+47,1,0,0
"525",1.16921798109169e+47,0,24,0
"526",1.1707429525316e+47,0,1,0
"527",1.17080504032119e+47,0,0,2
"528",1.17146094573616e+47,1,0,0
"529",1.1714957402159e+47,0,0,1
